worker_id,wav_name,onomatopoeia_ja,onomatopoeia_en,confidence_score
Zmjbc,4-196671-A-8.wav,メーメー,m e: m e:,3
Zmjbc,4-196671-A-8.wav,ンメーンメー,N m e: N m e:,3
Zmjbc,4-196671-A-8.wav,ウェェェー,w e e e:,2
JxhWr,4-196671-A-8.wav,メェェエーメェェヴォォメェェメェメー,m e: e e: m e: e b u o o m e: e m e: m e:,4
JxhWr,4-196671-A-8.wav,エエェェーメエボォォエエメェェメェー,e e e e: m e e b o: o e e m e: e m e::,3
JxhWr,4-196671-A-8.wav,メメメェェーェェブオオメメメメエエ,m e m e m e: e: e e b u o o m e m e m e m e e e,2
EPTFC,4-196671-A-8.wav,メエエエーメーメエエエーメー,m e e e e: m e: m e e e e: m e:,4
EPTFC,4-196671-A-8.wav,メヘヘヘヘーメエーメヘヘヘヘーメエー,m e h e h e h e h e: m e e: m e h e h e h e h e: m e e:,3
EPTFC,4-196671-A-8.wav,メヘヘヘエエーメヘーメヘヘヘエエーメヘー,m e h e h e h e e e: m e h e: m e h e h e h e e e: m e h e:,3
tSzrG,4-196671-A-8.wav,メエーメエーメエー,m e e: m e e: m e e:,5
tSzrG,4-196671-A-8.wav,ウエーウエーウエー,u e: u e: u e:,4
tSzrG,4-196671-A-8.wav,クエークエークエー,k u e: k u e: k u e:,3
vreXr,4-196671-A-8.wav,カカカーカカ,k a k a k a: k a k a,2
vreXr,4-196671-A-8.wav,クヮクヮクヮークヮ,k u w a k u w a k u w a: k u w a,3
vreXr,4-196671-A-8.wav,メーメーメーグヮ,m e: m e: m e: g u w a,3
iJdLJ,1-26806-A-1.wav,コッコオォー,k o q k o o::,4
iJdLJ,1-26806-A-1.wav,オッケオー,o q k e o:,3
iJdLJ,1-26806-A-1.wav,ホッケホー,h o q k e h o:,2
ZsVvZ,1-26806-A-1.wav,オエッオー,o e q o:,4
ZsVvZ,1-26806-A-1.wav,コッケオー,k o q k e o:,4
ZsVvZ,1-26806-A-1.wav,オエオー,o e o:,4
CqWpO,1-26806-A-1.wav,コッケコー,k o q k e k o:,3
CqWpO,1-26806-A-1.wav,フォェフォフォー,f o e f o f o:,3
CqWpO,1-26806-A-1.wav,クォクックォー,k u o k u q k u o:,3
yoXAc,1-26806-A-1.wav,コケコッー,k o k e k o q:,4
yoXAc,1-26806-A-1.wav,ゴケコー,g o k e k o:,3
yoXAc,1-26806-A-1.wav,コエオー,k o e o:,3
Pjpgj,1-26806-A-1.wav,コケコッコー,k o k e k o q k o:,4
Pjpgj,1-26806-A-1.wav,クオケクコッコー,k u o k e k u k o q k o:,4
Ivbhq,1-26806-A-1.wav,クッコアー,k u q k o a:,4
DHqJa,4-251645-A-49.wav,ギーコーギーコ,g i: k o: g i: k o,4
DHqJa,4-251645-A-49.wav,ジーギージーギー,j i: g i: j i: g i:,3
DHqJa,4-251645-A-49.wav,ギィーギィーギィー,g i:: g i:: g i::,3
vQRZz,4-251645-A-49.wav,ギコギコギコギコギコギコ,g i k o g i k o g i k o g i k o g i k o g i k o,4
vQRZz,4-251645-A-49.wav,ジコジコジコジコジコジコ,j i k o j i k o j i k o j i k o j i k o j i k o,4
vQRZz,4-251645-A-49.wav,ギュコギュコギュコギュコギュコギュコ,gy u k o gy u k o gy u k o gy u k o gy u k o gy u k o,3
QhKnD,4-251645-A-49.wav,ギーコーギーコー,g i: k o: g i: k o:,4
QhKnD,4-251645-A-49.wav,ジユーシージユーシー,j i y u: sh i: j i y u: sh i:,3
QhKnD,4-251645-A-49.wav,ガーキーガーキー,g a: k i: g a: k i:,3
XktgL,4-251645-A-49.wav,ギーコギーコギーコギーコギーコ,g i: k o g i: k o g i: k o g i: k o g i: k o,4
XktgL,4-251645-A-49.wav,グーングーングーングーングーン,g u: N g u: N g u: N g u: N g u: N,2
XktgL,4-251645-A-49.wav,ザーッザーッザーッザーッザーッ,z a: q z a: q z a: q z a: q z a: q,3
ZaWZk,4-251645-A-49.wav,ギーコギーコギーコギーコ,g i: k o g i: k o g i: k o g i: k o,5
ZaWZk,4-251645-A-49.wav,ジュィーコジュィーコジュィーコジュィーコ,j u i: k o j u i: k o j u i: k o j u i: k o,5
ZaWZk,4-251645-A-49.wav,シューコシューコシューコシューコ,sh u: k o sh u: k o sh u: k o sh u: k o,2
NRpFL,4-261068-A-30.wav,ゴンゴン,g o N g o N,4
NRpFL,4-261068-A-30.wav,トトントトン,t o t o N t o t o N,4
NRpFL,4-261068-A-30.wav,ボゴボゴ,b o g o b o g o,3
ODTjB,4-261068-A-30.wav,トントントントン,t o N t o N t o N t o N,4
ODTjB,4-261068-A-30.wav,ダンダンダンダン,d a N d a N d a N d a N,4
ODTjB,4-261068-A-30.wav,ボボボボボ,b o b o b o b o b o,2
klfNy,4-261068-A-30.wav,ドンドンドンドン,d o N d o N d o N d o N,5
klfNy,4-261068-A-30.wav,デンデンデンデン,d e N d e N d e N d e N,3
klfNy,4-261068-A-30.wav,ドゴドゴドゴドゴ,d o g o d o g o d o g o d o g o,2
SjIcx,4-261068-A-30.wav,トントントントントントントントン,t o N t o N t o N t o N t o N t o N t o N t o N,5
SjIcx,4-261068-A-30.wav,ドドドドドドドドドド,d o d o d o d o d o d o d o d o d o d o,4
SjIcx,4-261068-A-30.wav,タンタンタンタンタンタンタンタン,t a N t a N t a N t a N t a N t a N t a N t a N,4
epORs,4-261068-A-30.wav,ドンドン,d o N d o N,5
epORs,4-261068-A-30.wav,ドドド,d o d o d o,4
epORs,4-261068-A-30.wav,ダダダ,d a d a d a,3
YdeQO,1-260640-A-2.wav,グオグオグオーンブブオンブオブオ,g u o g u o g u o: N b u b u o N b u o b u o,3
YdeQO,1-260640-A-2.wav,ギオオーンボンボンブブブ,g i o o: N b o N b o N b u b u b u,2
YdeQO,1-260640-A-2.wav,ボボオーンブンブングググ,b o b o o: N b u N b u N g u g u g u,2
JbyEc,1-260640-A-2.wav,ゴゴゴゴーブヒブヒ,g o g o g o g o: b u h i b u h i,3
JbyEc,1-260640-A-2.wav,グゴゴゴゴブブブブヒィ,g u g o g o g o g o b u b u b u b u h i:,1
JbyEc,1-260640-A-2.wav,ゴゴゴグウォーンブリィブリィ,g o g o g o g u w o: N b u r i: b u r i:,2
lUHPr,1-260640-A-2.wav,ガウガウガーウブヒブヒ,g a u g a u g a: u b u h i b u h i,2
lUHPr,1-260640-A-2.wav,オウオウオウオーウビヒビ,o u o u o u o: u b i h i b i,1
lUHPr,1-260640-A-2.wav,アウアウアウアーウフゴフゴ,a u a u a u a: u f u g o f u g o,1
